,Unnamed: 0,设备编号,资产编号,设备名称,设备型号,设备规格,制造厂,出厂年月,使用部门,安装地点,立卡年月,启用年月,ABC分类,财务分类,原值(元),完好状态,当前管理状态,状态变动日期,使用年限(年),供货商,出厂编号,单价(元),设备属性,生产用途,责任人,备注
209,,5601899,,台式电脑,启天M420-D046（C）,,联想（北京）有限公司,2020-11,赤壁子公司,导入导出王卫东,2021-01,2020-12,C,,4690.0,完好,在用, ,5,赤壁市春天信息产业有限责任公司,YLX1BJJT,4690.0,设备,非生产,,
210,,5601898,,台式电脑,启天M420-D046（C）,,联想（北京）有限公司,2020-11,赤壁子公司,导入导出王卫东,2021-01,2020-12,C,,4690.0,完好,在用, ,5,赤壁市春天信息产业有限责任公司,YLX1BJEG,4690.0,设备,非生产,,
250,,8902029,环保,移动式烟尘净化器,WYJ-3Z,,威尔登环保设备（长沙）有限公司,2020-10,赤壁子公司,产业园,2020-11,2020-10,C,,24000.0,完好,在用, ,12,武汉百辰科技有限公司,W19E3Z095027,24000.0,设备,非生产,,
251,,8902028,环保,移动式烟尘净化器,WYJ-3Z,,威尔登环保设备（长沙）有限公司,2020-10,赤壁子公司,产业园,2020-11,2020-10,C,,24000.0,完好,在用, ,12,武汉百辰科技有限公司,W20J3Z1483067,24000.0,设备,非生产,,
252,,8902027,环保,移动式烟尘净化器,WYJ-3Z,,威尔登环保设备（长沙）有限公司,2020-10,赤壁子公司,产业园,2020-11,2020-10,C,,24000.0,完好,在用, ,12,武汉百辰科技有限公司,W20J3Z1483066,24000.0,设备,非生产,,
253,,8902026,环保,移动式烟尘净化器,WYJ-3Z,,威尔登环保设备（长沙）有限公司,2020-10,赤壁子公司,产业园,2020-11,2020-10,C,,24000.0,完好,在用, ,12,武汉百辰科技有限公司,W20J3Z1483065,24000.0,设备,非生产,,环保
254,,7999069,安全,便携式可燃气体检测报警器,XP-3110,,新考思莫施电子（上海）有限公司,2020-07,赤壁子公司,,2020-11,2020-10,C,,7480.0,完好,在用, ,2,黄石意能有成商贸有限公司,11081696,7480.0,设备,非生产,,
255,,7999068,安全,便携式可燃气体检测报警器,XP-3110,,新考思莫施电子（上海）有限公司,2020-07,赤壁子公司,许卫军,2020-11,2020-10,C,,7480.0,完好,在用, ,2,黄石意能有成商贸有限公司,11081696,7480.0,设备,非生产,,
256,,2716003,,洒水车,CLW5120GSS6,,程力专用汽车股份有限公司,2020-10,赤壁子公司,产业园,2020-11,2020-10,C,,135000.0,完好,在用, ,12,程力专用汽车股份有限公司,LGDCWA1L6LM113491,135000.0,设备,非生产,,
257,,5806680,,全数字IGBT逆变焊机,Ehave Cm500,30-500A  22.5KVA,深圳市麦格米特焊接技术有限公司, ,赤壁子公司,产业园,2020-09,2020-09,B,焊接设备,11580.0,完好,在用, ,8,湖北万泰宏商贸有限公司,ZF070091203000059,11580.0,设备,生产,,
258,,5806679,,全数字IGBT逆变焊机,Ehave Cm500,30-500A  22.5KVA,深圳市麦格米特焊接技术有限公司, ,赤壁子公司,产业园,2020-09,2020-09,B,焊接设备,11580.0,完好,在用, ,8,湖北万泰宏商贸有限公司,ZF070091203000066,11580.0,设备,生产,,
